"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"C1,C2,C4,C5,C6,C7";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";6;"0.1uF";;;
2;"C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"0.1uF 0.1%";;;
3;"J1";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"EADC";;;
4;"J2";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"RTD";;;
5;"J3";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"IADC";;;
6;"J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"UART2";;;
7;"J5";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"I2C";;;
8;"J6,J7,J8,J9";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";4;"POWER";;;
9;"JM1";"Pocket32";1;"Conn_Pocket32";;;
10;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"3w or 2/4w";;;
11;"JP2,JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;" ";;;
12;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"430 0.1%";;;
13;"R2,R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"4.7k";;;
14;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
15;"U3";"SO-8_5.3x6.2mm_P1.27mm";1;"SPIFLASH";;;
16;"U2";"QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm_ThermalVias";1;"MAX31865";;;
17;"openhardwarelogo1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Large";;;
